USDOT,MC_no,MCS 150,Entity_type,Operating_status,Out_of_service,Legal_name,Dba_name,Contact_name,Physical_address,Physical_city,Physical_state,Physical_zip,Business_phone,Mobile_number,Email_address,Mailing_address,Mailing_city,Mailing_state,Mailing_zip,Power units,Drivers,Mileage (Year),Operation_classification,Carrier_operation,Cargo_carried
3386647,,2020-01-24,Carrier,Active,None,Lewis Wells,P3 Moving Solutions,,5676 Natoma Cir,Stockton,CA,95219,(209) 696-1350,,,5676 Natoma Cir,Stockton,CA,95219,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386694,,2020-01-24,Carrier,Active,None,P Espinoza Trucking Llc,,,1608 Abrazo St,Bakersfield,CA,93306,(661) 599-8183,,,1608 Abrazo St,Bakersfield,CA,93306,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386703,,2020-01-24,Carrier,Not Authorized,None,R&C Fellas Logistics,,,"10747 Magnolia Blvd Apt 228
 N",Hollywood,CA,91601,(818) 970-4186,,,"10747 Magnolia Blvd Apt 228
 N",Hollywood,CA,91601,1,1,,Auth. For Hire ,Interstate ,General Freight
3386714,,2020-01-24,Carrier,Not Authorized,None,Jw Hatfield Trucking Llc,,,9611 Delmar Ave,Hesperia,CA,92345,(760) 605-6631,,,9611 Delmar Ave,Hesperia,CA,92345,1,1,,Auth. For Hire ,Interstate ,General Freight
3386747,,2020-01-24,Carrier,Not Authorized,None,Drive 2 Wait Trucking Llc,,,1829 N Sage Ave,Rialto,CA,92376,(562) 228-9507,,,1829 N Sage Ave,Rialto,CA,92376,1,1,,Auth. For Hire ,Interstate ,General Freight
3386749,,2020-01-24,Carrier,Active,None,Rellion Inc,,,16580 Harbor Blvd Ste J,Fountain Vly,CA,92708,(949) 209-9610,,,16580 Harbor Blvd Ste J,Fountain Vly,CA,92708,1,2,1 (2019),Auth. For Hire ,Intrastate  ,Building Materials
3386762,,2020-01-24,Carrier,Active,None,Vc Express Inc,,,606 E 120Th St,Los Angeles,CA,90059,(909) 278-9839,,,"Po Box 1404
Guasti, Ca   91743-1404",,,,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386766,,2020-01-24,Carrier,Active,None,Greer Bro'S Llc,,,6901 Hooper Ave,Bakersfield,CA,93308,(661) 345-9077,,,6901 Hooper Ave,Bakersfield,CA,93308,2,4,,Auth. For Hire ,Intrastate  ,Building Materials
3386770,,2020-01-24,Carrier,Active,None,Family Cleaners,,,1744 Tuolumne St,Vallejo,CA,94589,(707) 365-1806,,,1744 Tuolumne St,Vallejo,CA,94589,1,2,,Auth. For Hire ,Intrastate  ,General Freight
3386779,,2020-01-24,Carrier,Active,None,Patwal Trans Inc,,,2320 Pisa Cir,Stockton,CA,95206,(209) 851-1145,,,2320 Pisa Cir,Stockton,CA,95206,1,2,,Auth. For Hire ,Intrastate  ,General Freight
3386781,,2020-01-24,Carrier,Active,None,Xtreme Trailer Repair Inc,,,824 N Millard Ave,Rialto,CA,92376,(909) 272-3396,,,824 N Millard Ave,Rialto,CA,92376,1,1,,Auth. For Hire ,Intrastate  ,Other
3386782,,2020-01-24,Carrier,Active,None,Partida Transport Inc,,,1251 E 14Th Ave Apt B202,Blythe,CA,92225,(760) 925-7144,,,1251 E 14Th Ave Apt B202,Blythe,CA,92225,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386784,,2020-01-24,Carrier,Not Authorized,None,Adrian Federico Lopez,,,431 E Mckinley St,Rialto,CA,92376,(909) 233-2237,,,431 E Mckinley St,Rialto,CA,92376,1,1,,Auth. For Hire ,Interstate ,General Freight
3386809,,2020-01-24,Carrier,Not Authorized,None,Ahs Roadline Llc,,,1150N E Perrin Ave,Fresno,CA,93720,(513) 693-9552,,,1150 E Perrin Ave,Fresno,CA,93720,1,1,,Auth. For Hire ,Interstate ,General Freight
3386810,,2020-01-24,Carrier,Active,None,Rodolfo Rivera,,,1241 E 57Th St,Los Angeles,CA,90011,(818) 326-8408,,,1241 E 57Th St,Los Angeles,CA,90011,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386824,,2020-01-24,Carrier,Active,None,Cali Preferred Trucking Inc,,,1421 Charles Willard St,Carson,CA,90746,(310) 754-9821,,,2812 S Hobart Blvd,Los Angeles,CA,90018,16,16,,Auth. For Hire ,Intrastate  ,General Freight
3386828,,2020-01-24,Carrier,Active,None,R G Transport Llc,,,10546 E S2,Littlerock,CA,93543,(818) 317-1673,,,10546 E S2,Littlerock,CA,93543,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386831,,2020-01-24,Carrier,Not Authorized,None,Athwal Trans Inc,,,835 W Harney Ln Apt 127,Lodi,CA,95240,(209) 483-3007,,,835 W Harney Ln Apt 127,Lodi,CA,95240,1,1,,Auth. For Hire ,Interstate ,General Freight
3386834,,2020-01-24,Carrier,Active,None,Robledo Trucking Inc,,,12019 Overland Ct,Fontana,CA,92337,(909) 231-7430,,,12019 Overland Ct,Fontana,CA,92337,2,2,,Auth. For Hire ,Intrastate  ,General Freight
3386844,,2020-01-24,Carrier,Active,None,Ideal Med Transport Llc,,,320 Bill Bean Cir,Sacramento,CA,95835,(916) 678-2230,,,320 Bill Bean Cir,Sacramento,CA,95835,1,1,,Auth. For Hire ,Intrastate  ,Passengers
3386846,,2020-01-24,Carrier,Not Authorized,None,Milestar Transportation Inc,,,3100 Ashe Rd Apt 4,Bakersfield,CA,93309,(661) 525-0340,,,3100 Ashe Rd Apt 4,Bakersfield,CA,93309,1,1,,Auth. For Hire ,Interstate ,General Freight
3386847,,2020-01-24,Carrier,Not Authorized,None,Alfredo Lopez Sanchez,Keven Trucking,,4486 11Th St Apt A,Guadalupe,CA,93434,(831) 210-3229,,,4486 11Th St Apt A,Guadalupe,CA,93434,1,1,,Auth. For Hire ,Interstate ,General Freight
3386848,,2020-01-24,Carrier,Not Authorized,None,Tjsl Transportation,,,2525 Greenfield Ave,Arcadia,CA,91006,(909) 588-7792,,,2525 Greenfield Ave,Arcadia,CA,91006,1,1,,Auth. For Hire ,Interstate ,General Freight
3386849,,2020-01-24,Carrier,Active,None,A&A Custom Pavers Inc,,,20609 Joel St,Santa Clarita,CA,91350,(818) 590-3118,,,20609 Joel St,Santa Clarita,CA,91350,3,0,,Auth. For Hire ,Intrastate  ,Building Materials
3386852,,2020-01-24,Carrier,Not Authorized,None,M Palomino Trucking Llc,,,6056 Templeton St,Huntington Pk,CA,90255,(323) 439-5707,,,6056 Templeton St,Huntington Pk,CA,90255,1,1,,Auth. For Hire ,Interstate ,General Freight
3386855,,2020-01-24,Carrier,Not Authorized,None,Josan Brothers Trucking Llc,,,139 Indianapolis Ct,Manteca,CA,95337,(815) 228-9353,,,139 Indianapolis Ct,Manteca,CA,95337,1,1,775 (2020),Auth. For Hire ,Interstate ,General Freight
3386856,,2020-01-24,Carrier,Not Authorized,None,Ready Reed Llc,,,1218 62Nd Ave,Oakland,CA,94621,(916) 308-4224,,,1218 62Nd Ave,Oakland,CA,94621,1,1,,Auth. For Hire ,Interstate ,General Freight
3386871,,2020-01-24,Carrier,Active,None,F Torres Trucking Llc,,,27665 Gainesville Ave,Hayward,CA,94545,(806) 200-2529,,,27665 Gainesville Ave,Hayward,CA,94545,1,1,,Auth. For Hire ,Intrastate  ,Machinery
3386875,,2020-01-24,Carrier,Not Authorized,None,Cesar Perez Recinos,Cpr Trans,,505 W Citrus St,Colton,CA,92324,(951) 212-1456,,,505 W Citrus St,Colton,CA,92324,1,1,,Auth. For Hire ,Interstate ,General Freight
3386876,,2020-01-24,Carrier,Not Authorized,None,Executive Transportation Llc,,,28102 Chaparral Ave,Taft,CA,93268,(661) 427-9471,,,28102 Chaparral Ave,Taft,CA,93268,1,1,,Auth. For Hire ,Interstate ,General Freight
3386878,,2020-01-24,Carrier,Active,None,Kmg Trans Inc,,,1250 W Artesia Blvd,Compton,CA,90220,(310) 404-3267,,,1250 W Artesia Blvd,Compton,CA,90220,1,2,,Auth. For Hire ,Intrastate  ,General Freight
3386881,,2020-01-24,Carrier,Not Authorized,None,Jne Trucking Inc,,,152 Paseo,"Bravo
 Palm Desert",CA,92211,(746) 799-7006,,,9905 Cherry Ave,Fontana,CA,92335,1,1,,Auth. For Hire ,Interstate ,General Freight
3386886,,2020-01-24,Carrier,Not Authorized,None,Gujjar Transportation Inc,,,3057 Delta Tule Way,Sacramento,CA,95834,(916) 841-9807,,,3057 Delta Tule Way,Sacramento,CA,95834,1,1,,Auth. For Hire ,Interstate ,General Freight
3386889,,2020-01-24,Carrier,Not Authorized,None,Rd Express Llc,,,6190 Hillside Ave,Riverside,CA,92504,(310) 856-6630,,,6190 Hillside Ave,Riverside,CA,92504,1,1,,Auth. For Hire ,Interstate ,General Freight
3386892,,2020-01-24,Carrier,Not Authorized,None,Castros Landscaping,,,725 Renz Ln,Gilroy,CA,95020,(408) 430-8209,,,725 Renz Ln,Gilroy,CA,95020,1,2,,Auth. For Hire ,Interstate ,General Freight
3386897,,2020-01-24,Carrier,Not Authorized,None,Ace Carrier Inc,,,1595 Chandler Way,Yuba City,CA,95993,(530) 844-1892,,,1595 Chandler Way,Yuba City,CA,95993,1,1,,Auth. For Hire ,Interstate ,General Freight
3386901,,2020-01-24,Carrier,Not Authorized,None,Deluxe Trans Llc,,,3511 Jefferson Ave,Yuba City,CA,95993,(530) 788-2113,,,3511 Jefferson Ave,Yuba City,CA,95993,1,1,,Auth. For Hire ,Interstate ,General Freight
3386858,,2020-01-24,Carrier,Active,None,Sierra Trucking And Hauling Llc,,,210 W Ventura St,Tucson,AZ,85705,(520) 704-6006,,,"Po Box 86072
Tucson, Az   85754-6072",,,,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386447,,2020-01-24,Carrier,Active,None,Julian Javier Hernandez Lopez,,,710 W Southcross Blvd,San Antonio,TX,78211,(832) 447-1828,,,710 W Southcross Blvd,San Antonio,TX,78211,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386496,,2020-01-24,Carrier,Not Authorized,None,James Delgado,Tydeloads,,4755 Wynnview Dr,Friendswood,TX,77546,(877) 659-9442,,,4755 Wynnview Dr,Friendswood,TX,77546,1,1,,Auth. For Hire ,Interstate ,General Freight
3386504,,2020-01-24,Carrier,Not Authorized,None,Nicky Harris,Harris Transport,,428 Swiss Dr Lot 252,Crowley,TX,76036,(555) 555-5555,,,428 Swiss Dr Lot 252,Crowley,TX,76036,1,1,,Auth. For Hire ,Interstate ,General Freight
3386508,,2020-01-24,Carrier,Active,None,Maria Moncada,Moncada Bus Service,,10810 Telephone Rd Trlr 610,Houston,TX,77075,(832) 768-6044,,,10810 Telephone Rd Trlr 610,Houston,TX,77075,1,1,,Auth. For Hire ,Intrastate  ,Passengers
3386519,,2020-01-24,Carrier,Not Authorized,None,Naranjo Trucking Limited Liability Company,,,2718 Copeland Mill Ln,Houston,TX,77047,(405) 792-6946,,,2718 Copeland Mill Ln,Houston,TX,77047,1,1,,Auth. For Hire ,Interstate ,General Freight
3386523,,2020-01-24,Carrier,Not Authorized,None,Silverue Holdings Llc,Silverue Transport,,9006 Almeda Genoa Rd,Houston,TX,77075,(713) 817-7558,,,"Po Box 1522
Pearland, Tx   77588-1522",,,,1,1,,Auth. For Hire ,Interstate ,General Freight
3386524,,2020-01-24,Carrier,Active,None,O I Trucking Llc,,,10003 Sally Grove Ct,Houston,TX,77044,(832) 710-7274,,,10003 Sally Grove Ct,Houston,TX,77044,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386534,,2020-01-24,Carrier,Active,None,Mario Nahum Mejia Sevilla,Mm Movers Vip,,20315 Peralta Cliff Trl,Richmond,TX,77407,(832) 691-9547,,,20315 Peralta Cliff Trl,Richmond,TX,77407,1,401,,Auth. For Hire ,Intrastate  ,Household Goods
3386535,,2020-01-24,Carrier,Not Authorized,None,Neymar Transportation Llc,Ntl,,3901 Arlington Highlands Blvd Ste 200,Arlington,TX,76018,(682) 283-0974,,,3901 Arlington Highlands Blvd Ste 200,Arlington,TX,76018,1,2,1 (2019),Auth. For Hire ,Interstate ,General Freight
3386548,,2020-01-24,Carrier,Active,None,Copeland Trucking Llc,,,2211 Southridge Dr,Denton,TX,76205,(940) 783-3383,,,2211 Southridge Dr,Denton,TX,76205,1,1,1 (2019),Auth. For Hire ,Intrastate  ,Ag Sand Gravel
3386603,,2020-01-24,Carrier,Active,None,Juan Martinez,Jc Dirtworx,,3827 Fawn Creek Dr,Kingwood,TX,77339,(713) 252-4237,,,3827 Fawn Creek Dr,Kingwood,TX,77339,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386622,,2020-01-24,Carrier,Not Authorized,None,Lriii Transports Llc,,,17350 249 Ste 201651,Houston,TX,77064,(214) 210-0224,,,17350 249 Ste 201651,Houston,TX,77064,1,1,1 (2019),Auth. For Hire ,Interstate ,General Freight
3386629,,2020-01-24,Carrier,Not Authorized,None,Adams 5 Trucking Llc,,,112 Doe Run,Powderly,TX,75473,(903) 900-3857,,,112 Doe Run,Powderly,TX,75473,1,1,,Auth. For Hire ,Interstate ,General Freight
3386632,,2020-01-24,Carrier,Active,None,Toskon Trucking Llc,,,4201 Fairmont Pkwy Apt 2004,Pasadena,TX,77504,(832) 420-2502,,,4201 Fairmont Pkwy Apt 2004,Pasadena,TX,77504,1,2,,Auth. For Hire ,Intrastate  ,Other
3386634,,2020-01-24,Carrier,Active,None,Akj Express Transport Llc,,,17347 Deep Prairie Dr,Houston,TX,77095,(281) 758-9717,,,17347 Deep Prairie Dr,Houston,TX,77095,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386641,,2020-01-24,Carrier,Active,None,A Moreno Trucking,No,,15806 Ironside Hill Dr,Houston,TX,77053,(281) 857-2278,,,15806 Ironside Hill Dr,Houston,TX,77053,1,1,,Auth. For Hire ,Intrastate  ,Other
3386673,,2020-01-24,Carrier,Active,None,Qmaur Llc,,,10111 Fourwind Pass,San Antonio,TX,78245,(210) 954-0134,,,10111 Fourwind Pass,San Antonio,TX,78245,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386681,,2020-01-24,Carrier,Active,None,Young Logistics Management Llc,,,16176 Moss Haven Ln,Little Elm,TX,75068,(214) 681-8480,,,16176 Moss Haven Ln,Little Elm,TX,75068,1,1,1 (2019),Auth. For Hire ,Intrastate  ,General Freight
3386705,,2020-01-24,Carrier,Not Authorized,None,New Era Transport Llc,,,10954 Page St,El Paso,TX,79927,(915) 540-1607,,,10954 Page St,El Paso,TX,79927,3,3,1 (2019),Auth. For Hire ,Interstate ,General Freight
3386708,,2020-01-24,Carrier,Not Authorized,None,Turbo Lube Trucking Llc,,,2513 Wernecke Ave,Mission,TX,78574,(956) 239-5778,,,2513 Wernecke Ave,Mission,TX,78574,1,1,,Auth. For Hire ,Interstate ,General Freight
3386717,,2020-01-24,Carrier,Active,None,Juan Antonio Duran,Duran Trucking,,3016 N Terry St,Fort Worth,TX,76106,(817) 308-3407,,,3016 N Terry St,Fort Worth,TX,76106,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386722,,2020-01-24,Carrier,Not Authorized,None,Providence And Provision Trucking,,,"22518 Guncotton Ave 22518 Guncotton Ave
Hockley, Tx   77447",,,,(832) 491-6165,,,"22518 Guncotton Ave 22518 Guncotton Ave
Hockley, Tx   77447-2516",,,,6,1,,Auth. For Hire ,Interstate ,Motor Vehicles
3386750,,2020-01-24,Carrier,Active,None,Isnel Gonzalez Hernandez,Isnel Trucking,,18719 Parfield Ln,Houston,TX,77084,(281) 330-8004,,,18719 Parfield Ln,Houston,TX,77084,1,1,,Auth. For Hire ,Intrastate  ,Other
3386753,,2020-01-24,Carrier,Active,None,Manuel Ventura,Ventura Trucking,,3604 N Elm St,Fort Worth,TX,76106,(817) 691-6609,,,3604 N Elm St,Fort Worth,TX,76106,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386775,,2020-01-24,Carrier,Active,None,Dynostar Logistics Llc,,,124 Arunda Ct,Weatherford,TX,76085,(817) 789-2298,,,124 Arunda Ct,Weatherford,TX,76085,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386785,,2020-01-24,Carrier,Active,None,Giusseppe Rodriguez Valdes,Acw Transport,,19303 Gagelake Ln,Houston,TX,77084,(832) 378-1433,,,19303 Gagelake Ln,Houston,TX,77084,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386794,,2020-01-24,Carrier,Not Authorized,None,Tomekia Lashall Lewis & Terry Lamar Britton,Ttl Transport,,7206 Jay St Ste B,Houston,TX,77028,(281) 221-0536,,,7206 Jay St Ste B,Houston,TX,77028,1,2,,Auth. For Hire ,Interstate ,General Freight
3386795,,2020-01-24,Carrier,Active,None,Victor Manuel Castro Reyes,B & M Transport,,12811 Greenwood Forest Dr Apt 115,Houston,TX,77066,(813) 748-7614,,,12811 Greenwood Forest Dr Apt 115,Houston,TX,77066,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386814,,2020-01-24,Carrier,Active,None,John Michael Givens,,,12633 Live Oak Ln,Buda,TX,78610,(512) 964-5803,,,12633 Live Oak Ln,Buda,TX,78610,2,1,,Auth. For Hire ,Intrastate  ,General Freight
3386872,,2020-01-24,Carrier,Active,None,Ultimate Movers And Storage,,,12703 Glenhollow Dr,Houston,TX,77048,(713) 502-2575,,,12703 Glenhollow Dr,Houston,TX,77048,1,1,,Auth. For Hire ,Intrastate  ,Household Goods
3386896,,2020-01-24,Carrier,Not Authorized,None,Mayeli Mariela Buendia Alfaro,Mislandy Trucks,,6726 Dusty Dawn Dr,Houston,TX,77086,(832) 542-1976,,,6726 Dusty Dawn Dr,Houston,TX,77086,1,1,1 (2019),Auth. For Hire ,Interstate ,General Freight
3386906,,2020-01-24,Carrier,Active,None,Rogelio Portillo,Rpp Trucking,,1018 Oscar Chacon,San Elizario,TX,79849,(915) 603-1833,,,1018 Oscar Chacon,San Elizario,TX,79849,1,1,,Auth. For Hire ,Intrastate  ,Other
