USDOT,MC_no,MCS 150,Entity_type,Operating_status,Out_of_service,Legal_name,Dba_name,Contact_name,Physical_address,Physical_city,Physical_state,Physical_zip,Business_phone,Mobile_number,Email_address,Mailing_address,Mailing_city,Mailing_state,Mailing_zip,Power units,Drivers,Mileage (Year),Operation_classification,Carrier_operation,Cargo_carried
3386403,,2020-01-24,Carrier,Active,None,Deliveries With Faith Inc,,,1809 E Orangeburg Ave,Modesto,CA,95355,(925) 395-3254,,,1809 E Orangeburg Ave,Modesto,CA,95355,1,2,,Auth. For Hire ,Intrastate  ,General Freight
3386404,,2020-01-24,Carrier,Not Authorized,None,Jp Transportation Inc,Jp Transportation,,8204 Verona Dr,Bakersfield,CA,93313,(661) 863-7567,,,8204 Verona Dr,Bakersfield,CA,93313,49,2,,Auth. For Hire ,Interstate ,General Freight
3386405,,2020-01-24,Carrier,Active,None,South Bay Promotions Inc,,,1903 Carnegie Ln Apt 4,Redondo Beach,CA,90278,(310) 371-9334,,,1903 Carnegie Ln Apt 4,Redondo Beach,CA,90278,1,2,1 (2019),Auth. For Hire ,Intrastate  ,Motor Vehicles
3386412,,2020-01-24,Carrier,Not Authorized,None,Dst Freight Inc,,,902 Westwood St,Hayward,CA,94544,(510) 342-6688,,,26581 Flamingo Ave,Hayward,CA,94544,1,1,,Auth. For Hire ,Interstate ,General Freight
3386439,,2020-01-24,Carrier,Not Authorized,None,Sanchez Trucking Services Llc,,,8268 Telegraph Rd Apt H,Downey,CA,90240,(626) 672-7528,,,8268 Telegraph Rd Apt H,Downey,CA,90240,1,1,,Auth. For Hire ,Interstate ,General Freight
3386454,,2020-01-24,Carrier,Not Authorized,None,Isa Art Trucking Inc,,,1136 Winchester Ave Apt 202,Glendale,CA,91201,(818) 640-8182,,,1136 Winchester Ave Apt 202,Glendale,CA,91201,1,1,,Auth. For Hire ,Interstate ,General Freight
3386466,,2020-01-24,Carrier,Active,None,As Gill Express Inc,,,4036 Chiavari Way,Manteca,CA,95337,(209) 612-5277,,,4036 Chiavari Way,Manteca,CA,95337,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386483,,2020-01-24,Carrier,Active,None,Jsm Express Llc,,,25108 Vermont Dr,Newhall,CA,91321,(661) 714-8212,,,25108 Vermont Dr,Newhall,CA,91321,1,2,,Auth. For Hire ,Intrastate  ,General Freight
3386520,,2020-01-24,Carrier,Not Authorized,None,Cbt Truck Lines Inc,,,5312 Darpinian Ct,Riverbank,CA,95367,(916) 430-9625,,,5312 Darpinian Ct,Riverbank,CA,95367,1,1,,Auth. For Hire ,Interstate ,General Freight
3386521,,2020-01-24,Carrier,Active,None,F Guerra Transportation Inc,,,3330 Bank St,Bakersfield,CA,93309,(661) 319-1433,,,3330 Bank St,Bakersfield,CA,93309,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386547,,2020-01-24,Carrier,Not Authorized,None,Nagi Trucking Inc,,,100 E Hawkeye Ave Apt 5,Turlock,CA,95380,(510) 809-5475,,,100 E Hawkeye Ave Apt 5,Turlock,CA,95380,1,1,,Auth. For Hire ,Interstate ,General Freight
3386570,,2020-01-24,Carrier,Not Authorized,None,Fgs Carrier Inc,,,"3500 Jefferson Blvd Apt 1
 W",Sacramento,CA,95691,(530) 415-2595,,,"3500 Jefferson Blvd Apt 1
 W",Sacramento,CA,95691,1,1,,Auth. For Hire ,Interstate ,General Freight
3386572,,2020-01-24,Carrier,Not Authorized,None,Easy Global Business Corp,Silvios Transports,,3338 Redondo Beach Blvd Apt 227,Torrance,CA,90504,(714) 804-4389,,,1700 Santa Fe Ave Ste 206,Long Beach,CA,90813,1,1,,Auth. For Hire ,Interstate ,General Freight
3386574,,2020-01-24,Carrier,Active,None,Osorio Distribution Llc,,,12123 Abingdon St,Norwalk,CA,90650,(562) 794-8277,,,3377 California Ave,Signal Hill,CA,90755,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386575,,2020-01-24,Carrier,Active,None,Pordras Logistics Inc,,,409 E 56Th St,Long Beach,CA,90805,(562) 353-9300,,,409 E 56Th St,Long Beach,CA,90805,1,4,,Auth. For Hire ,Intrastate  ,General Freight
3386577,,2020-01-24,Carrier,Active,None,P & A Oseguera Trucking Llc,,,1211 Dorothy Ave,San Leandro,CA,94578,(510) 815-5662,,,1211 Dorothy Ave,San Leandro,CA,94578,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386589,,2020-01-24,Carrier,Active,None,Mega Mind Llc,,,12123 Abingdon St,Norwalk,CA,90650,(310) 994-2855,,,3377 California Ave,Signal Hill,CA,90755,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386608,,2020-01-24,Carrier,Active,None,Jose Roberto Martinez,,,7431 Beck Ave,Hollywood,CA,91605,(818) 445-3758,,,7431 Beck Ave,Hollywood,CA,91605,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386626,,2020-01-24,Carrier,Active,None,Dsg Services Llc,,,793 S Tracy Blvd # 375,Tracy,CA,95376,(209) 627-5588,,,2605 Monroe St,Tracy,CA,95376,2,2,1 (2019),Auth. For Hire ,Intrastate  ,General Freight
3386635,,2020-01-24,Carrier,Not Authorized,None,Safetway Inc,,,9662 Cabanas Ave,Tujunga,CA,91042,(818) 425-4975,,,9662 Cabanas Ave,Tujunga,CA,91042,1,1,,Auth. For Hire ,Interstate ,Motor Vehicles
